Sample,Mining_Logging,Construction,Manufacturing,Tarde_Trans_Util,Information,Finance,Prof_Bus_Srv,Ed_Health,Leisure_Hosp,Others,Government
1,1.6,2.7,2.5,3.7,1.6,1.3,3.4,2.4,6.4,2.4,0.8
2,1.5,2.7,2.4,3.5,1.8,1.5,3.3,2.5,5.3,2.5,0.7
3,1.9,2.5,2.5,3.3,1.8,1.4,3.3,2.3,5.2,2.3,0.7
4,1.7,2.1,2,3.1,1.6,1.4,3,2.2,5.3,2.6,0.7
5,1.9,2.4,2.3,3.5,1.9,1.6,3.7,2.4,5.3,2.3,0.8
6,1.5,2.7,2.1,2.9,2.1,1.4,2.9,2.2,5.1,2.3,0.8
7,2.1,2.3,2.1,2.8,1.5,1.5,2.9,2,4.6,2.4,0.9
8,1.3,1.9,2.1,2.8,1.4,1.7,2.8,2,4.9,2.1,0.8
9,1.6,2.2,2,3,1.5,1.2,2.8,2,5.2,2.1,0.9
10,2,2.2,1.9,2.8,1.5,1.4,2.9,1.9,4.6,2.3,0.9
11,1.4,1.8,1.9,2.8,1.5,1.5,3,2.2,4.4,2,1.1
12,1.3,2,2.1,2.7,1.3,1.3,3.3,2,4.5,2.1,0.9
13,1.1,1.3,1.9,2.7,1.4,1.5,2.7,1.9,3.9,1.1,1
14,1.7,2,1.6,2.9,1.4,1.1,2.9,2.1,4,2.3,1.1
15,1.4,1.9,1.7,2.4,1.2,1.1,2.1,1.9,3.6,1.8,0.9
16,1.1,1.4,1.2,2,2,1,2.2,1.5,3.5,0.7,0.9
17,0.9,1.4,1,1.8,1.5,0.8,2.3,1.8,3.6,1,0.8
18,1.3,1.8,1.2,2.2,1.5,1.2,2.7,1.9,3.2,1,1
19,1.9,2,1.5,2.8,1.8,1.5,2.9,2,4.1,2.1,0.8
20,2,2.1,1.5,3,1.2,1.5,3.2,2,4.4,1.6,0.8
21,1.8,2.2,1.6,2.6,1.4,1.5,3,2,4.5,2.4,0.8
22,2,2.2,1.5,2.9,1.5,1.8,2.9,1.8,4.4,2.2,0.8
23,1.7,2.4,1.6,2.3,1.6,1.5,2.9,1.9,4.6,3,0.8
24,1.5,2.4,1.7,2.7,1.4,1.5,3,1.8,4.4,2.1,0.8
25,1.9,2.3,1.6,2.8,1.6,1.6,3,2,4.9,1.9,0.8
26,1.9,2.3,1.5,2.8,1.3,1.5,3.2,2,4.8,2.6,0.8
27,1.8,2.5,1.6,2.7,1.5,1.5,3,1.8,4.8,2.2,0.9
28,1.9,2.2,1.6,2.8,1.8,1.5,3,1.7,4.6,2.5,0.9
29,2.4,1.9,1.8,2.7,1.9,1.5,3.1,1.9,4.6,2.4,0.8
30,2.9,2,1.7,2.7,1.7,1.2,3.3,2,4.5,2.2,0.8
31,2.7,2.7,1.6,2.7,1.7,1.2,3.1,2,4.7,2.1,0.8
32,2.3,2.6,1.7,2.5,2,1.2,3.1,2,4.6,2.4,0.9
33,2.8,2.4,1.5,2.6,1.5,1.5,3,2,4.2,1.8,0.8
34,2.5,2.4,1.7,2.6,1.9,1.3,3,2,4.3,2.6,0.8
35,2.6,2.3,1.6,2.7,1.5,1.2,3.1,2,4.4,2.3,0.8
36,3,2.2,1.6,2.8,1.6,1.5,2.9,1.8,4.6,2.5,0.8
37,2.8,2.5,1.7,2.7,1.6,1.6,2.9,2,4.5,2.2,0.8
38,2.9,2.7,1.8,2.6,1.7,1.5,3,1.9,4.4,2,0.8
39,2.8,2.5,1.7,2.6,1.8,1.4,3.1,1.9,4.2,1.7,0.9
40,3.1,2.3,1.6,2.6,1.8,1.3,3.1,2.1,4.3,2.1,0.8
41,3,2.4,1.6,2.5,1.6,1.1,3.3,1.9,4.4,2.1,0.8
42,2.6,2.2,1.7,2.4,1.6,1.3,3.1,1.8,4.3,2.8,0.8
43,2.8,2.2,1.7,2.3,1.8,1.4,3.1,1.7,4.3,2,0.7
44,2.9,2.2,1.6,2.4,1.6,1.4,2.7,1.6,3.8,1.9,0.8
45,2.4,2.1,1.6,2.5,1.8,1.5,3,1.7,4.1,1.9,0.8
46,2.2,1.9,1.5,2.3,1.6,1.4,3.3,1.7,4.1,1.7,0.8
47,2.8,2.5,1.6,2.3,1.5,1.5,3.1,1.8,3.9,1.9,0.8
48,2.5,2.4,1.5,2.4,1.8,1.3,3.2,1.7,4,2.2,0.8
49,1.8,2.2,1.5,2.4,1.6,1.2,3.2,1.7,3.8,2.4,0.7
50,2.5,2.1,1.6,2.4,1.8,1.3,2.9,1.7,3.8,2.4,0.7
51,2.2,2,1.6,2.4,1.3,1.3,3,1.9,4.1,2.4,0.7
52,2.1,2.2,1.7,2.4,1,1.5,2.9,1.8,4.1,2.1,0.7
53,1.3,2.3,1.5,2.2,1.3,1.3,2.8,1.8,4.1,2.1,0.7
54,1.9,2.4,1.5,2.5,1.4,1.3,2.9,1.8,4.1,1.9,0.8
55,2,2.3,1.4,2.5,2,1.2,2.8,1.7,4,2.2,0.8
56,1.9,2.2,1.4,2.4,1.3,1.5,3.1,1.9,4.1,2.1,0.8
57,1.9,2,1.3,2.2,1.8,1.1,3,1.7,4.2,2,0.7
58,2.1,2.2,1.3,2.4,1.3,1.1,2.9,1.6,4.3,1.9,0.7
59,2,1.9,1.3,2.4,1.4,1.2,3,1.7,4.4,2,0.8
60,2.2,1.6,1.2,2.5,1.7,1.1,3.1,1.8,4.3,1.7,0.8
61,2,2.2,1.2,2.4,1.3,1,3,1.7,4.1,1.6,0.8
