Month,Mining and logging,Construction,Manufacturing,"Trade, transportation, and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government
21-Aug,1.6,2.7,2.5,3.7,1.6,1.3,3.4,2.4,6.4,2.4,0.8
21-Jul,1.5,2.7,2.4,3.5,1.8,1.5,3.3,2.5,5.3,2.5,0.7
21-Jun,1.9,2.5,2.5,3.3,1.8,1.4,3.3,2.3,5.2,2.3,0.7
21-May,1.7,2.1,2,3.1,1.6,1.4,3,2.2,5.3,2.6,0.7
21-Apr,1.9,2.4,2.3,3.5,1.9,1.6,3.7,2.4,5.3,2.3,0.8
21-Mar,1.5,2.7,2.1,2.9,2.1,1.4,2.9,2.2,5.1,2.3,0.8
21-Feb,2.1,2.3,2.1,2.8,1.5,1.5,2.9,2,4.6,2.4,0.9
21-Jan,1.3,1.9,2.1,2.8,1.4,1.7,2.8,2,4.9,2.1,0.8
20-Dec,1.6,2.2,2,3,1.5,1.2,2.8,2,5.2,2.1,0.9
20-Nov,2,2.2,1.9,2.8,1.5,1.4,2.9,1.9,4.6,2.3,0.9
20-Oct,1.4,1.8,1.9,2.8,1.5,1.5,3,2.2,4.4,2,1.1
20-Sep,1.3,2,2.1,2.7,1.3,1.3,3.3,2,4.5,2.1,0.9
20-Aug,1.1,1.3,1.9,2.7,1.4,1.5,2.7,1.9,3.9,1.1,1
20-Jul,1.7,2,1.6,2.9,1.4,1.1,2.9,2.1,4,2.3,1.1
20-Jun,1.4,1.9,1.7,2.4,1.2,1.1,2.1,1.9,3.6,1.8,0.9
20-May,1.1,1.4,1.2,2,2,1,2.2,1.5,3.5,0.7,0.9
20-Apr,0.9,1.4,1,1.8,1.5,0.8,2.3,1.8,3.6,1,0.8
20-Mar,1.3,1.8,1.2,2.2,1.5,1.2,2.7,1.9,3.2,1,1
20-Feb,1.9,2,1.5,2.8,1.8,1.5,2.9,2,4.1,2.1,0.8
20-Jan,2,2.1,1.5,3,1.2,1.5,3.2,2,4.4,1.6,0.8
19-Dec,1.8,2.2,1.6,2.6,1.4,1.5,3,2,4.5,2.4,0.8
19-Nov,2,2.2,1.5,2.9,1.5,1.8,2.9,1.8,4.4,2.2,0.8
19-Oct,1.7,2.4,1.6,2.3,1.6,1.5,2.9,1.9,4.6,3,0.8
19-Sep,1.5,2.4,1.7,2.7,1.4,1.5,3,1.8,4.4,2.1,0.8
19-Aug,1.9,2.3,1.6,2.8,1.6,1.6,3,2,4.9,1.9,0.8
19-Jul,1.9,2.3,1.5,2.8,1.3,1.5,3.2,2,4.8,2.6,0.8
19-Jun,1.8,2.5,1.6,2.7,1.5,1.5,3,1.8,4.8,2.2,0.9
19-May,1.9,2.2,1.6,2.8,1.8,1.5,3,1.7,4.6,2.5,0.9
19-Apr,2.4,1.9,1.8,2.7,1.9,1.5,3.1,1.9,4.6,2.4,0.8
19-Mar,2.9,2,1.7,2.7,1.7,1.2,3.3,2,4.5,2.2,0.8
19-Feb,2.7,2.7,1.6,2.7,1.7,1.2,3.1,2,4.7,2.1,0.8
19-Jan,2.3,2.6,1.7,2.5,2,1.2,3.1,2,4.6,2.4,0.9
18-Dec,2.8,2.4,1.5,2.6,1.5,1.5,3,2,4.2,1.8,0.8
18-Nov,2.5,2.4,1.7,2.6,1.9,1.3,3,2,4.3,2.6,0.8
18-Oct,2.6,2.3,1.6,2.7,1.5,1.2,3.1,2,4.4,2.3,0.8
18-Sep,3,2.2,1.6,2.8,1.6,1.5,2.9,1.8,4.6,2.5,0.8
18-Aug,2.8,2.5,1.7,2.7,1.6,1.6,2.9,2,4.5,2.2,0.8
18-Jul,2.9,2.7,1.8,2.6,1.7,1.5,3,1.9,4.4,2,0.8
18-Jun,2.8,2.5,1.7,2.6,1.8,1.4,3.1,1.9,4.2,1.7,0.9
18-May,3.1,2.3,1.6,2.6,1.8,1.3,3.1,2.1,4.3,2.1,0.8
18-Apr,3,2.4,1.6,2.5,1.6,1.1,3.3,1.9,4.4,2.1,0.8
18-Mar,2.6,2.2,1.7,2.4,1.6,1.3,3.1,1.8,4.3,2.8,0.8
18-Feb,2.8,2.2,1.7,2.3,1.8,1.4,3.1,1.7,4.3,2,0.7
18-Jan,2.9,2.2,1.6,2.4,1.6,1.4,2.7,1.6,3.8,1.9,0.8
17-Dec,2.4,2.1,1.6,2.5,1.8,1.5,3,1.7,4.1,1.9,0.8
17-Nov,2.2,1.9,1.5,2.3,1.6,1.4,3.3,1.7,4.1,1.7,0.8
17-Oct,2.8,2.5,1.6,2.3,1.5,1.5,3.1,1.8,3.9,1.9,0.8
17-Sep,2.5,2.4,1.5,2.4,1.8,1.3,3.2,1.7,4,2.2,0.8
17-Aug,1.8,2.2,1.5,2.4,1.6,1.2,3.2,1.7,3.8,2.4,0.7
17-Jul,2.5,2.1,1.6,2.4,1.8,1.3,2.9,1.7,3.8,2.4,0.7
17-Jun,2.2,2,1.6,2.4,1.3,1.3,3,1.9,4.1,2.4,0.7
17-May,2.1,2.2,1.7,2.4,1,1.5,2.9,1.8,4.1,2.1,0.7
17-Apr,1.3,2.3,1.5,2.2,1.3,1.3,2.8,1.8,4.1,2.1,0.7
17-Mar,1.9,2.4,1.5,2.5,1.4,1.3,2.9,1.8,4.1,1.9,0.8
17-Feb,2,2.3,1.4,2.5,2,1.2,2.8,1.7,4,2.2,0.8
17-Jan,1.9,2.2,1.4,2.4,1.3,1.5,3.1,1.9,4.1,2.1,0.8
16-Dec,1.9,2,1.3,2.2,1.8,1.1,3,1.7,4.2,2,0.7
16-Nov,2.1,2.2,1.3,2.4,1.3,1.1,2.9,1.6,4.3,1.9,0.7
16-Oct,2,1.9,1.3,2.4,1.4,1.2,3,1.7,4.4,2,0.8
16-Sep,2.2,1.6,1.2,2.5,1.7,1.1,3.1,1.8,4.3,1.7,0.8
16-Aug,2,2.2,1.2,2.4,1.3,1,3,1.7,4.1,1.6,0.8
